post_id,post_type,likes,comments,shares,saves,impressions,reach,profile_visits,follower_count,date_posted,engagement-rate
001,Photo,152,64,47,21,4788,8438,47,1159,2024-03-27,3.37
002,Photo,485,11,30,42,5167,8793,29,13145,2024-12-03,6.46
003,Carousel,910,61,43,36,9465,6807,166,16373,2024-02-13,15.43
004,Video,320,40,48,41,2389,6342,188,7555,2024-05-25,7.08
005,Video,156,49,17,38,9357,7156,141,17237,2024-09-20,3.63
006,Video,121,24,26,34,7154,8180,64,10203,2024-12-05,2.51
007,Photo,750,69,36,17,6420,3185,101,9244,2024-11-20,27.38
008,Story,70,12,1,37,9920,5068,37,15743,2024-11-13,2.37
009,Photo,664,20,8,25,3043,1471,13,14333,2024-06-20,48.74
010,Story,171,18,49,38,5197,963,159,14341,2024-02-17,28.66
011,Reel,516,80,35,12,4496,5392,85,19691,2024-04-30,11.93
012,Photo,264,91,15,23,1778,5595,182,2228,2024-12-10,7.02
013,Photo,380,19,47,42,1213,5598,76,6590,2024-06-07,8.72
014,Photo,508,96,22,22,4762,6836,95,6585,2024-04-25,9.48
015,Video,137,70,14,21,7731,3155,171,10227,2024-04-11,7.67
016,Video,422,36,26,27,4117,6687,100,7046,2024-03-16,7.64
017,Story,149,91,28,31,6791,8761,192,13237,2024-01-13,3.41
018,Story,921,67,23,6,9783,6627,114,16649,2024-01-24,15.35
019,Photo,713,90,14,27,3720,5519,10,5945,2024-05-05,15.29
020,Story,180,55,24,40,9905,1393,81,8927,2024-08-31,21.46
021,Video,711,29,2,34,7047,5639,96,13641,2024-11-08,13.76
022,Story,358,62,45,12,9032,8194,175,16998,2024-02-07,5.82
023,Reel,819,67,26,45,1001,4293,15,14386,2024-08-21,22.29
024,Video,393,66,14,7,7368,6964,162,8016,2024-07-31,6.89
025,Reel,541,26,7,10,2949,3472,154,15027,2024-11-18,16.82
026,Story,463,62,3,45,7732,5000,70,16920,2024-10-21,11.46
027,Carousel,855,62,47,17,8833,816,21,14752,2024-04-09,120.22
028,Photo,435,90,23,26,1917,3991,15,19268,2024-12-22,14.38
029,Video,241,53,46,21,4174,1192,36,19193,2024-07-15,30.29
030,Reel,326,56,43,28,8014,7072,145,4167,2024-09-10,6.41
031,Carousel,210,46,47,46,1089,1371,133,12989,2024-07-23,25.46
032,Carousel,509,74,45,2,2709,4431,115,15087,2024-05-04,14.22
033,Video,363,19,18,43,4041,6972,194,3437,2024-03-16,6.35
034,Video,71,58,38,1,1105,7977,102,16275,2024-12-01,2.11
035,Carousel,302,64,35,36,9619,4697,118,6276,2024-12-18,9.3
036,Photo,797,12,15,26,2895,8923,108,9859,2024-01-03,9.53
037,Photo,906,57,25,29,7090,3079,177,8818,2024-02-24,33.03
038,Reel,610,64,37,21,9508,8251,151,5728,2024-08-05,8.87
039,Photo,524,9,28,11,7082,1575,44,6738,2024-04-22,36.32
040,Carousel,108,72,10,40,1634,7669,185,6793,2024-03-31,3.0
041,Carousel,560,10,39,11,2925,3047,93,5523,2024-12-22,20.35
042,Story,731,98,17,36,3056,7888,65,6571,2024-09-22,11.18
043,Carousel,525,51,39,49,7917,878,186,17209,2024-08-25,75.63
044,Photo,749,59,22,39,4144,8880,150,16246,2024-01-26,9.79
045,Reel,832,44,26,40,1552,7899,198,11380,2024-10-12,11.93
046,Story,239,56,44,35,9907,4726,58,3224,2024-05-07,7.91
047,Photo,736,20,25,34,6383,8140,55,9389,2024-03-03,10.01
048,Reel,612,17,17,47,4911,7883,122,16927,2024-08-21,8.79
049,Photo,925,34,13,24,4389,7030,199,12684,2024-03-09,14.17
050,Story,616,23,20,22,9442,5740,145,11640,2024-08-25,11.86
051,Carousel,293,21,25,5,3430,4071,52,9662,2024-12-07,8.45
052,Story,881,67,4,33,1458,4256,157,7361,2024-09-28,23.14
053,Carousel,554,23,10,36,1207,8588,133,2948,2024-10-13,7.25
